conversation_id,title
68fbb796-804c-8328-b8be-a004af9caeb3,Identify individual from details
68d27f0d-5244-832d-8079-ea11fea3db42,Identify person tribe
68fbba5e-29a8-832e-8e66-9ab7629645bf,Illustrator and collaborator details
68d26dbe-bb34-8325-8700-4b18f7829671,Incumbent king's coronation name
68fbcd43-958c-832c-a781-a2c3c400b2cd,International league reference
68d3b424-315c-832b-a703-3f43a9b857c7,Interviewer's first name
68fe847a-21d0-832f-b055-2d82d5922937,Kasetsart University criteria
68fbba51-e2a0-8326-b88f-dee70d2bc52c,Korean champion ability query
68fe848e-c1a4-8331-8f81-eba20b2f2033,LEC Summer 2021 Final
68fe845a-6f70-8326-aadb-918987488803,Landmark identification challenge
68d28441-0450-8333-aef9-81950fa3c0d2,Landmark identification request
68fb6738-d22c-8326-bf87-aa12ca05756c,Letter writer identification
68fbcbf5-38dc-8326-866b-dac132cbcaa1,Librarian and historian query
68fbcc01-ca80-8328-913e-9cefa3ea2896,Lover's identity revealed
68d25220-f754-832b-845b-05b5cf7b8b04,Manga antagonist and movements
68fb6850-188c-8333-8ccf-4cc546b4db4a,Marie of Romania title
68de4bf2-3868-832f-982f-038b9347fc08,Match player identification
68fbb749-ff58-8329-a83c-726af28d4a56,Match substitute inquiry
68fbcd63-b9c0-832f-9b39-2f4c43cb5297,Medical reviewer identified
68dee7ae-8c8c-8331-b807-297d3c3a2680,Miracle fruit identification
68fbbc6c-5f24-8329-b660-82648b32640e,Model full form
68d25883-f830-8322-a8dc-f50086388e2b,Monument dedication inquiry
68fe8e0d-e880-832f-a5e1-0b108baa93e2,Mopane worm protein source
68fe8985-fd88-8329-baf9-0e3116c8a907,Movie review writer clues
68fe8908-0ce8-8331-b3cc-bb34d6a0d999,Mystery settlement identification
68fb64a5-afc8-8325-801d-a9403138f47f,Mystery settlement identified
68fbbc76-6638-8328-818b-ac2b8491d3a9,Name of Olympic medalist
68fbb735-d648-832a-86c9-0c50ef1612a9,New chat
68fe8dfc-4008-8333-8953-e60b89898859,New chat
68fbb8b6-0270-8325-a04b-40cd0e74cbd8,New chat
68fbbc50-45f0-8327-bc7f-afc561c088a4,New chat
68fbb8fb-61f0-832d-997b-c5d3e59a1837,Newspaper founder inquiry
68fbbc9a-9df0-832a-87e5-f4eaf9517095,Olympics flag bearer identity
68fe873a-abcc-832f-a959-19b6ae90bc02,One Red Rose
68d9aa75-6314-8322-8cfb-16bd6e2388dd,Oscar winner search
68dee529-63b8-8327-8e15-258b72179aa7,Paper author search results
68fb6712-c7d4-832d-80b3-b8f9420d66d3,Person A full name
68d3b2cc-e1ac-8333-9ff1-965e192aab7f,Person C identity guess
68fe8462-3a94-8325-b95f-740c1aa109cf,Person identification details
68d25682-9a74-832b-9fbe-f6cb41734e8e,Person in research papers
68fe8223-9b40-8327-8cdb-2dc45a1bed02,Player birth name inquiry
68d143e7-1ec0-832e-8573-8f90e14ee28e,Player name guess
68dee610-11e8-832b-88c0-c2ba5c8cf734,Player of the Match
68fe7e01-2188-8333-9d3a-453e9f38c186,Poet's father fruit type
68fbba71-b344-832c-83aa-62c376811ebb,Position takeover inquiry
68d26b81-254c-8324-bbbf-23434207c0f0,Professor Trefor Jenkins award
68d2828e-1100-8330-bf3e-90bb675a9b00,Program name search
68d3b08e-0f7c-8331-8c4e-b7d15b0eb6d4,Project abbreviation search
68fe8731-cad4-832a-b3ee-0f5c2fe61e34,Relationship breakup date
68d9b022-35f4-8325-ab8b-e5d4466ef3d2,Relationship end date
68fe8e05-8ccc-832b-a69f-05ecc7ffe26b,Research advisor search
68fe8943-a398-8332-a4df-d36e448be75d,Research paper search
68fe8235-a464-832a-a7b9-162d150562c2,Room inspiration for author
68fe870c-9664-8333-abae-4139e2b55f8b,Senior animators surnames
68fe8c61-9f2c-8326-9be4-0830e99adfcc,Shareholding review 2022
68d26cc6-99c4-832e-8c15-a92555bd6f99,Shipwreck captain identification
68dee70d-6334-8332-8d60-e2df33e2ae5d,Short story search
68fb6481-f728-8333-9c3b-e90d646dd5a9,Sligo Abbey identification
68fe8255-cf04-832e-9228-bbdfff4fef2a,Song in advertisement search
68d9acd1-88bc-8329-8137-43f7e9a7b5ba,Source name inquiry
68fbb75f-bb8c-8333-9afa-3db552fc36fa,Sport in author bio
68fbba30-1c4c-8332-afdd-46c228756d1d,Sports position inquiry
68d3b448-577c-8321-977f-fe81ec39417e,Sportsperson accident watch
68fbcbdd-3824-8330-9813-266993e8a68e,Spouse in dissertation acknowledgments
68fbbca7-6aa4-832e-add4-97b4e82ac43f,Station establishment date
68fe8747-1a9c-832c-b254-f3cb15d50ada,Stock buyback availability
68fb64b3-83d0-8327-a75d-230fd085a15a,Study authorship count
68fbbe7e-6410-8333-9890-c9afb3498d6f,Study subject count
68fe84a2-42a8-8333-99b2-90f309f9a00f,Taj-ul-Masajid details
68d2f90f-20f8-8321-8048-f7bef9e62cdc,Team founding year and country
68fbb89a-1288-832b-ac7c-628e1c5760c4,Television documentary trivia
68fe8c2a-c620-832a-8f18-a6430b01e18e,Terry Wogan statue name
68d254a6-0b64-832e-93fa-044ba2ffdcea,Thesis title investigation
68fbcbce-189c-832f-b935-3a638ce8b0a9,Tom Ford details
68d9ab9e-d0fc-8321-9494-2757e5b6c9a8,Toothpaste unique flavors
68fe8090-8628-8325-8c99-5b2a0ad28dd6,Translator identification
68fb6727-0b70-8329-8d92-8d9c4ed36771,Trial start month
68fb6705-75a8-832d-afea-9e38f551df03,University building inquiry
68fb65ee-f2d8-8328-86a0-3a40ecc18656,Van Nellefabriek landmark
68fe824a-1f7c-832e-a7c3-d8ee94738b4b,William E. Fry search
68fe80b6-4e28-8326-a185-684b930c7dc8,Writer birthdate inquiry
68d2725b-d0e8-8328-9d82-c00574248e40,Writer identification query
68dee89c-ebdc-8327-b811-dbfe6f053fdc,Zeratul ability changes
